ID	Ki67.Syn.prct	Ki67.Gcg.prct	Ki67.Syn.intraislet.prct 	alpha.cells 	Ki67.alpha.cells 	Ki67.alpha.cells.prct	Ki67.PP.prct	Ki67.Sst.prct	Ki67.Grh.prct	Ki67.Sox9.prct.1 	Ki67.Sox9.prct.2	islet.mass
6148	0.00	0.06		14.5876777251185	0.009478672985782							0.104288309070085
6087	0.27	0.04		72.8704663212435	0.031088082901554		0	0	0			0.254036254025919
6145	0.05	0.00		90.2777777777778	0		0	0.100212579513313	0	0	0	0.422390668717521
6237	0.09	0.09		25.8257839721254	0.024390243902439							0.380770934347783
6195		0.02		41.4782608695652	0.007246376811594							0.17486262588816
6161	0.14	0.12		30.1052631578947	0.035087719298246							0.277118730116959
6064	0.01	0.00		34.0277777777778	0		0	0	2.85714285714286			0.532031630862622
6212	0.15	0.08		27.6084452975048	0.021113243761996							0.532697132774567
6224	0.08	0.06		22.9761904761905	0.014285714285714							0.182498128483123
6198	0.06	0.03		17.0432432432432	0.005405405405405							
6245	0.06	0.04		54.4246231155779	0.022613065326633							0.717549732264
